,t,x,y,z,e,label
194,2021-02-08 17:46:00,550131.25,4432591.52,909.02,5736.92,0
195,2021-02-08 22:56:00,550052.86,4432531.63,910.59,5507.5,0
196,2021-02-08 23:47:00,550131.68,4432596.16,901.01,10184.93,0
197,2021-02-09 03:00:00,550146.64,4432648.03,903.45,26444.66,1
198,2021-02-09 09:55:00,550105.37,4432673.11,909.48,7858.3,0
199,2021-02-09 12:48:00,550113.04,4432542.31,911.1,28935.52,1
200,2021-02-09 13:53:00,550099.28,4432580.78,906.74,24275.12,1
201,2021-02-10 03:18:00,550083.09,4432526.06,910.85,13199.62,0
202,2021-02-10 05:02:00,550113.81,4432556.41,910.36,9727.72,0
203,2021-02-10 10:44:00,550107.9,4432583.46,906.77,27557.57,1
204,2021-02-10 11:50:00,549976.84,4432508.05,898.91,9242.47,0
205,2021-02-10 12:13:00,550160.38,4432578.59,908.63,18537.58,1
206,2021-02-10 12:24:00,550138.84,4432524.31,910.88,13780.9,0
207,2021-02-10 13:50:00,550207.29,4432668.41,920.38,32244.65,1
208,2021-02-11 10:40:00,550118.09,4432586.39,905.38,9340.35,0
209,2021-02-11 10:42:00,550117.7,4432624.91,910.38,33050.99,1
210,2021-02-11 17:19:00,550091.44,4432700.76,946.45,9080.42,0
211,2021-02-11 17:48:00,550122.37,4432751.59,898.57,15715.1,1
212,2021-02-11 17:52:00,550073.99,4432516.19,910.29,19436.19,1
213,2021-02-12 02:39:00,550107.08,4432576.78,908.83,12730.42,0
214,2021-02-12 06:10:00,550110.63,4432515.86,910.91,35201.19,1
215,2021-02-12 16:13:00,550097,4432710.07,909.79,20157.04,1
216,2021-02-12 19:10:00,550098.93,4432696.19,906.98,14973.6,0
217,2021-02-12 20:12:00,550060.06,4432669.25,951.19,18439.6,1
218,2021-02-13 00:44:00,550139.35,4432671.09,918.81,15811.69,1
219,2021-02-13 09:24:00,550100.12,4432628.1,901.66,18344.81,1
220,2021-02-14 01:30:00,550114.28,4432607.34,908.97,36150,1
221,2021-02-14 02:29:00,550101.08,4432669.16,913.2,16859.92,1
222,2021-02-14 09:02:00,550046.86,4432721.33,921.4,8709.16,0
223,2021-02-15 06:19:00,550129.98,4432726.87,907.85,10887.79,0
224,2021-02-15 08:02:00,550071.47,4432685.57,913.37,13777.35,0
225,2021-02-15 13:39:00,550091.61,4432757.17,907.65,15079.2,0
226,2021-02-15 18:25:00,550024.08,4432686.91,914.73,5842.41,0
227,2021-02-15 21:45:00,550085.06,4432704.51,900.41,26561.98,1
228,2021-02-16 00:52:00,550066.47,4432636.74,940.41,10372.41,0
229,2021-02-16 20:16:00,550114.11,4432813.64,899.77,8892.94,0
230,2021-02-16 23:25:00,550061.18,4432683.54,949.69,4839.16,0
231,2021-02-17 05:15:00,550114.12,4432753.49,903.51,5899.86,0
232,2021-02-17 08:41:00,550091.57,4432692.89,908.75,15824.41,1
233,2021-02-17 14:50:00,550058.55,4432530.5,906.26,7317.99,0
234,2021-02-17 15:20:00,550053.7,4432557.82,908.37,19382.22,1
235,2021-02-17 16:29:00,550068.69,4432663.7,934.15,14160.59,0
236,2021-02-17 17:18:00,550114.99,4432658.86,915.54,10295.17,0
